Date,PM2.5
2018/1/1,93
2018/1/2,27
2018/1/3,21
2018/1/4,8
2018/1/5,26
2018/1/6,58
2018/1/7,21
2018/1/8,94
2018/1/9,28
2018/1/10,34
2018/1/11,45
2018/1/12,33
2018/1/13,52
2018/1/14,31
2018/1/15,37
2018/1/16,70
2018/1/17,101
2018/1/18,78
2018/1/19,122
2018/1/20,84
2018/1/21,37
2018/1/22,49
2018/1/23,83
2018/1/24,20
2018/1/25,11
2018/1/26,14
2018/1/27,16
2018/1/28,22
2018/1/29,97
2018/1/30,191
2018/1/31,174
2018/2/1,124
2018/2/2,103
2018/2/3,30
2018/2/4,36
2018/2/5,57
2018/2/6,30
2018/2/7,25
2018/2/8,84
2018/2/9,61
2018/2/10,65
2018/2/11,43
2018/2/12,33
2018/2/13,32
2018/2/14,38
2018/2/15,33
2018/2/16,19
2018/2/17,36
2018/2/18,15
2018/2/19,22
2018/2/20,42
2018/2/21,34
2018/2/22,47
2018/2/23,49
2018/2/24,36
2018/2/25,32
2018/2/26,38
2018/2/27,37
2018/2/28,32
2018/3/1,66
2018/3/2,20
2018/3/3,28
2018/3/4,30
2018/3/5,17
2018/3/6,18
2018/3/7,20
2018/3/8,46
2018/3/9,38
2018/3/10,65
2018/3/11,60
2018/3/12,23
2018/3/13,22
2018/3/14,18
2018/3/15,40
2018/3/16,22
2018/3/17,17
2018/3/18,27
2018/3/19,27
2018/3/20,46
2018/3/21,29
2018/3/22,78
2018/3/23,88
2018/3/24,58
2018/3/25,68
2018/3/26,59
2018/3/27,57
2018/3/28,43
2018/3/29,24
2018/3/30,24
2018/3/31,30
2018/4/1,39
2018/4/2,42
2018/4/3,30
2018/4/4,29
2018/4/5,25
2018/4/6,0
2018/4/7,23
2018/4/8,33
2018/4/9,37
2018/4/10,25
2018/4/11,52
2018/4/12,24
2018/4/13,19
2018/4/14,31
2018/4/15,53
2018/4/16,21
2018/4/17,33
2018/4/18,41
2018/4/19,35
2018/4/20,24
2018/4/21,26
2018/4/22,28
2018/4/23,36
2018/4/24,22
2018/4/25,47
2018/4/26,28
2018/4/27,75
2018/4/28,100
2018/4/29,79
2018/4/30,74
2018/5/1,45
2018/5/2,53
2018/5/3,31
2018/5/4,40
2018/5/5,24
2018/5/6,41
2018/5/7,29
2018/5/8,32
2018/5/9,30
2018/5/10,21
2018/5/11,20
2018/5/12,70
2018/5/13,71
2018/5/14,52
2018/5/15,47
2018/5/16,39
2018/5/17,35
2018/5/18,46
2018/5/19,27
2018/5/20,12
2018/5/21,19
2018/5/22,23
2018/5/23,32
2018/5/24,31
2018/5/25,23
2018/5/26,29
2018/5/27,34
2018/5/28,73
2018/5/29,100
2018/5/30,80
2018/5/31,48
2018/6/1,37
2018/6/2,32
2018/6/3,33
2018/6/4,35
2018/6/5,79
2018/6/6,51
2018/6/7,26
2018/6/8,23
2018/6/9,23
2018/6/10,40
2018/6/11,57
2018/6/12,61
2018/6/13,47
2018/6/14,28
2018/6/15,18
2018/6/16,22
2018/6/17,22
2018/6/18,19
2018/6/19,23
2018/6/20,13
2018/6/21,19
2018/6/22,23
2018/6/23,12
2018/6/24,19
2018/6/25,36
2018/6/26,39
2018/6/27,31
2018/6/28,29
2018/6/29,30
2018/6/30,18
2018/7/1,14
2018/7/2,14
2018/7/3,16
2018/7/4,36
2018/7/5,25
2018/7/6,14
2018/7/7,13
2018/7/8,25
2018/7/9,14
2018/7/10,10
2018/7/11,12
2018/7/12,9
2018/7/13,9
2018/7/14,9
2018/7/15,9
2018/7/16,8
2018/7/17,8
2018/7/18,8
2018/7/19,8
2018/7/20,23
2018/7/21,20
2018/7/22,9
2018/7/23,12
2018/7/24,26
2018/7/25,36
2018/7/26,35
2018/7/27,41
2018/7/28,41
2018/7/29,41
2018/7/30,32
2018/7/31,19
2018/8/1,15
2018/8/2,18
2018/8/3,11
2018/8/4,19
2018/8/5,18
2018/8/6,19
2018/8/7,15
2018/8/8,20
2018/8/9,20
2018/8/10,27
2018/8/11,22
2018/8/12,13
2018/8/13,9
2018/8/14,9
2018/8/15,13
2018/8/16,8
2018/8/17,8
2018/8/18,8
2018/8/19,7
2018/8/20,10
2018/8/21,16
2018/8/22,14
2018/8/23,23
2018/8/24,29
2018/8/25,17
2018/8/26,13
2018/8/27,9
2018/8/28,8
2018/8/29,9
2018/8/30,11
2018/8/31,16
